City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jayapura,-2.5333,140.7,24.66,92,100,0.92,ID,1743521136
84,al burayqah,30.4062,19.5739,18.2,58,42,6.09,LY,1743520846
85,kahriz,34.3838,47.0553,21.04,24,0,6.17,IR,1743521139
86,iqaluit,63.7506,-68.5145,-22.95,63,0,1.03,CA,1743521140
87,christchurch,-43.5333,172.6333,13.51,85,100,3.1,NZ,1743520674
88,georgetown,5.4112,100.3354,26.96,87,40,1.03,MY,1743521143
89,sitka,57.0531,-135.33,1.94,64,0,2.06,US,1743521144
90,saudarkrokur,65.7461,-19.6394,5.31,71,84,4.85,IS,1743521145
91,hammerfest,70.6634,23.6821,3.25,65,40,4.63,NO,1743521147
92,la paz,-16.5,-68.15,11.99,74,75,2.06,BO,1743521134
93,muravlenko,63.7898,74.523,-7.95,90,63,3.74,RU,1743521149
94,lata,40.1629,-8.3327,23.05,42,94,3.72,PT,1743521151
95,west island,-12.1568,96.8225,26.99,89,40,4.63,CC,1743521152
96,konarka,19.9,86.1167,27.12,78,1,7.1,IN,1743521153
97,lebu,-37.6167,-73.65,13.35,65,0,5.96,CL,1743521155
98,kish,26.5578,54.0194,25.15,61,0,5.14,IR,1743521156
99,hamilton,39.1834,-84.5333,7.12,69,100,3.09,US,1743521015
100,khudaganj,28.15,79.7167,26.51,7,3,3.96,IN,1743521159
101,geraldton,-28.7667,114.6,23.23,78,1,5.14,AU,1743521160
102,watsa,3.0372,29.5355,26.47,56,100,1.48,CD,1743521162
103,hermanus,-34.4187,19.2345,21.0,65,20,4.58,ZA,1743521163
104,tiksi,71.6872,128.8694,-13.93,97,100,1.62,RU,1743521164
105,aasiaat,68.7098,-52.8699,-15.22,91,92,1.64,GL,1743521165
106,narasannapeta,18.4167,84.05,25.84,80,0,2.82,IN,1743521167
107,port lincoln,-34.7333,135.8667,17.92,75,0,3.54,AU,1743521168
108,vung tau,10.346,107.0843,27.07,87,83,4.71,VN,1743521169
109,college,64.8569,-147.8028,1.15,86,100,8.23,US,1743521171
110,kaspiysk,42.8816,47.6392,15.1,67,20,4.0,RU,1743521172
111,balqash,46.8481,74.995,5.96,72,4,5.24,KZ,1743521173
112,qaqortoq,60.7167,-46.0333,-7.9,56,0,1.87,GL,1743521174
113,kaa-khem,51.6833,94.7333,-4.61,81,10,1.51,RU,1743521176
114,varna,43.2167,27.9167,10.08,87,75,3.09,BG,1743521177
115,karachi,24.9056,67.0822,27.9,54,0,1.03,PK,1743521092
116,kingscliff,-28.2667,153.5667,20.89,94,75,3.6,AU,1743521180
117,invercargill,-46.4,168.35,10.57,92,97,1.79,NZ,1743521182
118,karratha,-20.7377,116.8463,30.18,61,75,3.73,AU,1743521184
119,olonkinbyen,70.9221,-8.7187,-1.54,88,99,6.04,SJ,1743521185
120,tolanaro,-25.0319,46.9987,25.59,85,22,6.37,MG,1743521186
121,pont rouge,48.8833,-72.0825,-6.35,75,98,7.79,CA,1743521188
122,byron bay,-28.65,153.6167,21.68,91,99,2.6,AU,1743521189
123,san antonio de pale,-1.4014,5.6325,27.53,80,78,3.79,GQ,1743521190
124,chui,-33.6971,-53.4616,22.31,58,17,5.99,UY,1743521192
125,saurimo,-9.6608,20.3916,22.33,80,100,2.27,AO,1743521193
126,howrah,22.5892,88.3103,29.0,74,20,6.69,IN,1743521194
127,suoyarvi,62.0833,32.35,4.94,80,100,3.02,RU,1743521196
128,egilsstadir,65.2653,-14.3948,7.95,49,0,2.57,IS,1743521197
129,slave lake,55.2834,-114.769,0.99,86,100,1.03,CA,1743521198
130,atafu village,-8.5421,-172.5159,28.03,77,47,4.15,TK,1743521199
131,illapel,-31.6308,-71.1653,18.87,43,100,1.94,CL,1743521201
132,punta arenas,-53.15,-70.9167,6.06,81,75,13.89,CL,1743521099
133,codrington,-38.2667,141.9667,12.48,93,30,2.68,AU,1743521203
134,tonghae,37.5439,129.1069,6.85,58,36,2.72,KR,1743521205
135,keflavik,64.0049,-22.5624,6.24,52,0,6.17,IS,1743521206
136,kharp,66.8014,65.8081,-10.55,90,99,2.56,RU,1743521208
137,campo gallo,-26.5833,-62.85,19.54,43,85,2.88,AR,1743521209
138,okhotsk,59.3833,143.3,-9.86,97,100,2.23,RU,1743521210
139,onega,63.9061,38.1404,0.37,97,100,1.49,RU,1743521211
140,hun,29.1268,15.9477,25.19,14,0,8.78,LY,1743521213
141,nouadhibou,20.931,-17.0347,23.99,57,98,8.23,MR,1743521214
142,ismayilli,40.779,48.1638,16.71,45,0,1.59,AZ,1743521215
143,portland,45.5234,-122.6762,5.1,96,100,3.13,US,1743521217
144,adiake,5.2863,-3.304,30.66,65,92,4.56,CI,1743521218
145,nova vicosa,-17.8919,-39.3719,30.01,60,66,3.71,BR,1743521219
146,rogozno,52.7523,16.9905,13.78,51,70,4.33,PL,1743521221
147,revda,56.801,59.9303,1.33,99,100,1.01,RU,1743521222
148,ust'-kut,56.7938,105.7672,0.02,92,100,2.52,RU,1743521223
149,qarazhal,48.0078,70.7903,6.08,71,0,2.49,KZ,1743521225
150,bonthe,7.5264,-12.505,30.91,61,72,6.31,SL,1743521226
151,edinburgh of the seven seas,-37.0676,-12.3116,17.85,74,100,9.56,SH,1743521103
152,ust-nera,64.5667,143.2,-18.38,97,94,1.6,RU,1743521228
153,nakasongola,1.3089,32.4564,30.36,35,92,1.08,UG,1743521223
154,helena valley west central,46.6629,-112.0604,1.49,86,100,4.63,US,1743521231
155,karagandy,49.8019,73.1021,3.97,80,97,2.86,KZ,1743521232
156,fisterra,42.9049,-9.2629,14.74,92,59,6.01,ES,1743521233
157,carrizo springs,28.5219,-99.8606,24.97,69,86,4.12,US,1743521235
158,pisco,-13.7,-76.2167,24.03,64,0,3.6,PE,1743521236
